'db_last_name','db_last_name',"'LBL_LIST_LAST_NAME',","'LBL_LIST_LAST_NAME',",Leads
'db_first_name','db_first_name',"'LBL_LIST_FIRST_NAME',","'LBL_LIST_FIRST_NAME',",Leads
'db_title','db_title',"'LBL_LIST_TITLE',","'LBL_LIST_TITLE',",Leads
'db_email1','db_email1',"'LBL_LIST_EMAIL_ADDRESS',","'LBL_LIST_EMAIL_ADDRESS',",Leads
'db_account_name','db_account_name',"'LBL_LIST_ACCOUNT_NAME',","'LBL_LIST_ACCOUNT_NAME',",Leads
'db_email2','db_email2',"'LBL_LIST_EMAIL_ADDRESS',","'LBL_LIST_EMAIL_ADDRESS',",Leads
'ERR_DELETE_RECORD','ERR_DELETE_RECORD',"'Die Datensatznummer muss angegeben werden, um diesen Datensatz löschen zu können.',","'en_us A record number must be specified to delete the lead.',",Leads
'LBL_ACCOUNT_DESCRIPTION','LBL_ACCOUNT_DESCRIPTION',"'Firma Beschreibung',","'Account Description',",Leads
'LBL_ACCOUNT_ID','LBL_ACCOUNT_ID',"'Firma ID',","'Organisation ID',",Leads
'LBL_ACCOUNT_NAME','LBL_ACCOUNT_NAME',"'Firmenname:',","'Organisation Name:',",Leads
'LBL_ACTIVITIES_SUBPANEL_TITLE','LBL_ACTIVITIES_SUBPANEL_TITLE',"'Aktivitäten',","'Activities',",Leads
'LBL_ADD_BUSINESSCARD','LBL_ADD_BUSINESSCARD',"'vCard hinzufügen',","'Add Business Card',",Leads
'LBL_ADDRESS_INFORMATION','LBL_ADDRESS_INFORMATION',"'Adressinformation',","'Address Information',",Leads
'LBL_ALT_ADDRESS_CITY','LBL_ALT_ADDRESS_CITY',"'2. Adresse Ort',","'Alt Address City',",Leads
'LBL_ALT_ADDRESS_COUNTRY','LBL_ALT_ADDRESS_COUNTRY',"'2. Adresse Land',","'Alt Address Country',",Leads
'LBL_ALT_ADDRESS_POSTALCODE','LBL_ALT_ADDRESS_POSTALCODE',"'2. Adresse Postleitzahl',","'Alt Address Postalcode',",Leads
'LBL_ALT_ADDRESS_STATE','LBL_ALT_ADDRESS_STATE',"'2. Adresse Bundesland',","'Alt Address State',",Leads
'LBL_ALT_ADDRESS_STREET_2','LBL_ALT_ADDRESS_STREET_2',"'2. Adresse Straße 2',","'Alt Address Street 2',",Leads
'LBL_ALT_ADDRESS_STREET_3','LBL_ALT_ADDRESS_STREET_3',"'2. Adresse Straße 3',","'Alt Address Street 3',",Leads
'LBL_ALT_ADDRESS_STREET','LBL_ALT_ADDRESS_STREET',"'2. Adresse Straße',","'Alt Address Street',",Leads
'LBL_ALTERNATE_ADDRESS','LBL_ALTERNATE_ADDRESS',"'Weitere Adresse:',","'Other Address:',",Leads
'LBL_ALT_ADDRESS','LBL_ALT_ADDRESS',"'Weitere Adresse:',","'Other Address:',",Leads
'LBL_ANY_ADDRESS','LBL_ANY_ADDRESS',"'Irgendeine Adresse:',","'Any Address:',",Leads
'LBL_ANY_EMAIL','LBL_ANY_EMAIL',"'Irgendeine E-Mail:',","'Any Email:',",Leads
'LBL_ANY_PHONE','LBL_ANY_PHONE',"'Irgendeine Telefonnummer:',","'Any Phone:',",Leads
'LBL_ASSIGNED_TO_NAME','LBL_ASSIGNED_TO_NAME',"'Zugewiesen an',","'Assigned to',",Leads
'LBL_ASSIGNED_TO_ID','LBL_ASSIGNED_TO_ID',"'Zugew. Benutzer:',","'Assigned User:',",Leads
'LBL_BACKTOLEADS','LBL_BACKTOLEADS',"'Zurück zu den Interessenten',","'Back To Leads',",Leads
'LBL_BUSINESSCARD','LBL_BUSINESSCARD',"'Interessent umwandeln',","'Convert Lead',",Leads
'LBL_CITY','LBL_CITY',"'Stadt:',","'City:',",Leads
'LBL_CONTACT_ID','LBL_CONTACT_ID',"'Kontakt ID',","'Contact ID',",Leads
'LBL_CONTACT_INFORMATION','LBL_CONTACT_INFORMATION',"'Überblick',","'Overview',",Leads
'LBL_CONTACT_NAME','LBL_CONTACT_NAME',"'Name:',","'Lead Name:',",Leads
'LBL_CONTACT_OPP_FORM_TITLE','LBL_CONTACT_OPP_FORM_TITLE',"'Interessent:',","'Lead-Opportunity:',",Leads
'LBL_CONTACT_ROLE','LBL_CONTACT_ROLE',"'Rolle:',","'Role:',",Leads
'LBL_CONTACT','LBL_CONTACT',"'Interessent:',","'Lead:',",Leads
'LBL_CONVERTED_ACCOUNT','LBL_CONVERTED_ACCOUNT',"'Umgewandelt in Firma:',","'Converted Organisation:',",Leads
'LBL_CONVERTED_CONTACT','LBL_CONVERTED_CONTACT',"'Umgewandelt in Kontakt:',","'Converted Contact:',",Leads
'LBL_CONVERTED_OPP','LBL_CONVERTED_OPP',"'Umgewandelt in Verkaufschance:',","'Converted Opportunity:',",Leads
'LBL_CONVERTED','LBL_CONVERTED',"'Umgewandelt',","'Converted',",Leads
'LBL_CONVERTLEAD_BUTTON_KEY','LBL_CONVERTLEAD_BUTTON_KEY',"'V',","'V',",Leads
'LBL_CONVERTLEAD_TITLE','LBL_CONVERTLEAD_TITLE',"'Interessent umwandeln',","'Convert Lead',",Leads
'LBL_CONVERTLEAD','LBL_CONVERTLEAD',"'Interessent umwandeln',","'Convert Lead',",Leads
'LBL_CONVERTLEAD_WARNING','LBL_CONVERTLEAD_WARNING',"'Achtung: Der Status des Interessenten den Sie versuchen umzuwandeln ist bereits ""umgewandelt"". Es könnte also bereits ein Kontakt und/oder Firma aus diesem Interessent erstellt worden sein. Um den Interessent dennoch umzuwandeln klicken Sie bitte auf Speichern. Wenn Sie nicht umwandeln möchten, klicken Sie auf Abbrechen.',","'Warning: The status of the Lead you are about to convert is ""Converted"". Contact and/or Account records may already have been created from the Lead. If you wish to continue with converting the Lead, click Save. To go back to the Lead without converting it, click Cancel.',",Leads
'LBL_CONVERTLEAD_WARNING_INTO_RECORD','LBL_CONVERTLEAD_WARNING_INTO_RECORD',"' Mögliche Kontaktperson: ',","' Possible Contact: ',",Leads
'LBL_COUNTRY','LBL_COUNTRY',"'Land:',","'Country:',",Leads
'LBL_CREATED_NEW','LBL_CREATED_NEW',"'Neu erstellt(e)',","'Created a new',",Leads
'LBL_CREATED_ACCOUNT','LBL_CREATED_ACCOUNT',"'Neue Firma angelegt',","'Created a new Organisation',",Leads
'LBL_CREATED_CALL','LBL_CREATED_CALL',"'Neuer Anruf angelegt',","'Created a new call',",Leads
'LBL_CREATED_CONTACT','LBL_CREATED_CONTACT',"'Neuer Kontakt angelegt',","'Created a new contact',",Leads
'LBL_CREATED_MEETING','LBL_CREATED_MEETING',"'Neues Meeting angelegt',","'Created a new meeting',",Leads
'LBL_CREATED_OPPORTUNITY','LBL_CREATED_OPPORTUNITY',"'Neue Verkaufschance erstellt',","'Created a new opportunity',",Leads
'LBL_DEFAULT_SUBPANEL_TITLE','LBL_DEFAULT_SUBPANEL_TITLE',"'Interessenten',","'Leads',",Leads
'LBL_DEPARTMENT','LBL_DEPARTMENT',"'Abteilung:',","'Department:',",Leads
'LBL_DESCRIPTION_INFORMATION','LBL_DESCRIPTION_INFORMATION',"'Beschreibungsinformation',","'Description Information',",Leads
'LBL_DESCRIPTION','LBL_DESCRIPTION',"'Beschreibung:',","'Description:',",Leads
'LBL_DO_NOT_CALL','LBL_DO_NOT_CALL',"'Nicht anrufen:',","'Do Not Call:',",Leads
'LBL_DUPLICATE','LBL_DUPLICATE',"'Ähnlicher Interessenten',","'Similar Leads',",Leads
'LBL_EMAIL_ADDRESS','LBL_EMAIL_ADDRESS',"'E-Mail Adresse:',","'Email Address:',",Leads
'LBL_EMAIL_OPT_OUT','LBL_EMAIL_OPT_OUT',"'Keine E-Mails senden:',","'Email Opt Out:',",Leads
'LBL_EXISTING_ACCOUNT','LBL_EXISTING_ACCOUNT',"'Vorhandene Firma ausgewählt',","'Used an existing Organisation',",Leads
'LBL_EXISTING_CONTACT','LBL_EXISTING_CONTACT',"'Vorhandener Kontakt ausgewählt',","'Used an existing contact',",Leads
'LBL_EXISTING_OPPORTUNITY','LBL_EXISTING_OPPORTUNITY',"'Vorhandene Verkaufschance benutzt',","'Used an existing opportunity',",Leads
'LBL_FAX_PHONE','LBL_FAX_PHONE',"'Fax:',","'Fax:',",Leads
'LBL_FIRST_NAME','LBL_FIRST_NAME',"'Vorname:',","'First Name:',",Leads
'LBL_FULL_NAME','LBL_FULL_NAME',"'Ganzer Name:',","'Full Name:',",Leads
'LBL_HISTORY_SUBPANEL_TITLE','LBL_HISTORY_SUBPANEL_TITLE',"'Verlauf',","'History',",Leads
'LBL_HOME_PHONE','LBL_HOME_PHONE',"'Telefon Privat:',","'Home Phone:',",Leads
'LBL_IMPORT_VCARD','LBL_IMPORT_VCARD',"'vCard importieren',","'Import vCard',",Leads
'LBL_VCARD','LBL_VCARD',"'vCard',","'vCard',",Leads
'LBL_IMPORT_VCARDTEXT','LBL_IMPORT_VCARDTEXT',"'Erstellen Sie einen neuen Interessenten, indem Sie eine vCard von Ihrem Computer importieren.',","'Automatically create a new lead by importing a vCard from your file system.',",Leads
'LBL_INVALID_EMAIL','LBL_INVALID_EMAIL',"'Ungültige E-Mail:',","'Invalid Email:',",Leads
'LBL_INVITEE','LBL_INVITEE',"'Direkt-Unterstellte',","'Direct Reports',",Leads
'LBL_LAST_NAME','LBL_LAST_NAME',"'Nachname:',","'Last Name:',",Leads
'LBL_LEAD_SOURCE_DESCRIPTION','LBL_LEAD_SOURCE_DESCRIPTION',"'Beschreibung Quelle:',","'Lead Source Description:',",Leads
'LBL_LEAD_SOURCE','LBL_LEAD_SOURCE',"'Quelle:',","'Lead Source:',",Leads
'LBL_LIST_ACCEPT_STATUS','LBL_LIST_ACCEPT_STATUS',"'Status',","'Accept Status',",Leads
'LBL_LIST_ACCOUNT_NAME','LBL_LIST_ACCOUNT_NAME',"'Firmenname',","'Organisation Name',",Leads
'LBL_LIST_CONTACT_NAME','LBL_LIST_CONTACT_NAME',"'Name',","'Lead Name',",Leads
'LBL_LIST_CONTACT_ROLE','LBL_LIST_CONTACT_ROLE',"'Rolle',","'Role',",Leads
'LBL_LIST_DATE_ENTERED','LBL_LIST_DATE_ENTERED',"'Erstellt am:',","'Date Created',",Leads
'LBL_LIST_EMAIL_ADDRESS','LBL_LIST_EMAIL_ADDRESS',"'E-Mail',","'Email',",Leads
'LBL_LIST_FIRST_NAME','LBL_LIST_FIRST_NAME',"'Vorname',","'First Name',",Leads
'LBL_VIEW_FORM_TITLE','LBL_VIEW_FORM_TITLE',"'Interessenten Ansicht',","'Lead View',",Leads
'LBL_LIST_FORM_TITLE','LBL_LIST_FORM_TITLE',"'Interessenten Liste',","'Lead List',",Leads
'LBL_LIST_LAST_NAME','LBL_LIST_LAST_NAME',"'Nachname',","'Last Name',",Leads
'LBL_LIST_LEAD_SOURCE_DESCRIPTION','LBL_LIST_LEAD_SOURCE_DESCRIPTION',"'Beschreibung Quelle',","'Lead Source Description',",Leads
'LBL_LIST_LEAD_SOURCE','LBL_LIST_LEAD_SOURCE',"'Quelle',","'Lead Source',",Leads
'LBL_LIST_MY_LEADS','LBL_LIST_MY_LEADS',"'Meine Interessenten',","'My Leads',",Leads
'LBL_LIST_NAME','LBL_LIST_NAME',"'Name',","'Name',",Leads
'LBL_LIST_PHONE','LBL_LIST_PHONE',"'Telefon Büro',","'Office Phone',",Leads
'LBL_LIST_REFERED_BY','LBL_LIST_REFERED_BY',"'Empfohlen von',","'Referred By',",Leads
'LBL_LIST_STATUS','LBL_LIST_STATUS',"'Status',","'Status',",Leads
'LBL_LIST_TITLE','LBL_LIST_TITLE',"'Titel',","'Title',",Leads
'LBL_MOBILE_PHONE','LBL_MOBILE_PHONE',"'Telefon Mobil:',","'Mobile:',",Leads
'LBL_MODULE_NAME','LBL_MODULE_NAME',"'Interessenten',","'Leads',",Leads
'LBL_MODULE_TITLE','LBL_MODULE_TITLE',"'Interessenten: Startseite',","'Leads: Home',",Leads
'LBL_NAME','LBL_NAME',"'Name:',","'Name:',",Leads
'LBL_NEW_FORM_TITLE','LBL_NEW_FORM_TITLE',"'Neuer Interessent',","'New Lead',",Leads
'LBL_NEW_PORTAL_PASSWORD','LBL_NEW_PORTAL_PASSWORD',"'Neues Portal Passwort:',","'New Portal Password:',",Leads
'LBL_OFFICE_PHONE','LBL_OFFICE_PHONE',"'Telefon Büro:',","'Office Phone:',",Leads
'LBL_OPP_NAME','LBL_OPP_NAME',"'Verkaufschance Name:',","'Opportunity Name:',",Leads
'LBL_OPPORTUNITY_AMOUNT','LBL_OPPORTUNITY_AMOUNT',"'Verkaufschance Betrag:',","'Opportunity Amount:',",Leads
'LBL_OPPORTUNITY_ID','LBL_OPPORTUNITY_ID',"'Verkaufschance ID',","'Opportunity ID',",Leads
'LBL_OPPORTUNITY_NAME','LBL_OPPORTUNITY_NAME',"'Verkaufschance Name:',","'Opportunity Name:',",Leads
'LBL_OTHER_EMAIL_ADDRESS','LBL_OTHER_EMAIL_ADDRESS',"'Weitere E-Mail:',","'Other Email:',",Leads
'LBL_OTHER_PHONE','LBL_OTHER_PHONE',"'Weiteres Telefon:',","'Other Phone:',",Leads
'LBL_PHONE','LBL_PHONE',"'Telefon:',","'Phone:',",Leads
'LBL_PORTAL_ACTIVE','LBL_PORTAL_ACTIVE',"'Portal Aktiv:',","'Portal Active:',",Leads
'LBL_PORTAL_APP','LBL_PORTAL_APP',"'Portal Anwendung',","'Portal Application',",Leads
'LBL_PORTAL_INFORMATION','LBL_PORTAL_INFORMATION',"'Portal Information',","'Portal Information',",Leads
'LBL_PORTAL_NAME','LBL_PORTAL_NAME',"'Portal Name:',","'Portal Name:',",Leads
'LBL_PORTAL_PASSWORD_ISSET','LBL_PORTAL_PASSWORD_ISSET',"'Portal Password ist gesetzt:',","'Portal Password Is Set:',",Leads
'LBL_POSTAL_CODE','LBL_POSTAL_CODE',"'PLZ:',","'Postal Code:',",Leads
'LBL_STREET','LBL_STREET',"'Straße',","'Street',",Leads
'LBL_PRIMARY_ADDRESS_CITY','LBL_PRIMARY_ADDRESS_CITY',"'Hauptadresse Ort',","'Primary Address City',",Leads
'LBL_PRIMARY_ADDRESS_COUNTRY','LBL_PRIMARY_ADDRESS_COUNTRY',"'Hauptadresse Land',","'Primary Address Country',",Leads
'LBL_PRIMARY_ADDRESS_POSTALCODE','LBL_PRIMARY_ADDRESS_POSTALCODE',"'Hauptadresse PLZ',","'Primary Address Postalcode',",Leads
'LBL_PRIMARY_ADDRESS_STATE','LBL_PRIMARY_ADDRESS_STATE',"'Hauptadresse Bundesland',","'Primary Address State',",Leads
'LBL_PRIMARY_ADDRESS_STREET_2','LBL_PRIMARY_ADDRESS_STREET_2',"'Hauptadresse Straße 2',","'Primary Address Street 2',",Leads
'LBL_PRIMARY_ADDRESS_STREET_3','LBL_PRIMARY_ADDRESS_STREET_3',"'Hauptadresse Straße 3',","'Primary Address Street 3',",Leads
'LBL_PRIMARY_ADDRESS_STREET','LBL_PRIMARY_ADDRESS_STREET',"'Hauptadresse Straße',","'Primary Address Street',",Leads
'LBL_PRIMARY_ADDRESS','LBL_PRIMARY_ADDRESS',"'Hauptadresse:',","'Primary Address:',",Leads
'LBL_REFERED_BY','LBL_REFERED_BY',"'Empfohlen von:',","'Referred By:',",Leads
'LBL_REPORTS_TO_ID','LBL_REPORTS_TO_ID',"'Berichtet an ID',","'Reports To ID',",Leads
